# visionSample, x, y, visX, visY, angle, rawDist, rawAngle, distM, distC, angleC, angleM, distRSquared, angleRSquared
11 0.0 0.0 14.9180336331 0.525753762902 -0.769999980927 0.493720315958 2.125 9.0 1.0 1.0 2.5 0.0 0.0 
11 0.0 0.0 14.9180336331 0.525753762902 -0.77999997139 0.493720315958 2.125 9.0 1.0 1.0 2.5 0.0 0.0 
11 0.0 0.0 14.9180336331 0.525753762902 -0.77999997139 0.493720315958 2.125 9.0 1.0 1.0 2.5 0.0 0.0 
11 0.0 0.0 14.9180336331 0.525753762902 -0.790000021458 0.493720315958 2.125 9.0 1.0 1.0 2.5 0.0 0.0 
11 0.0 0.0 14.9180336331 0.525753762902 -0.790000021458 0.493720315958 2.125 9.0 1.0 1.0 2.5 0.0 0.0 
11 0.0 0.0 14.9180336331 0.525753762902 -0.800000011921 0.493720315958 2.125 9.0 1.0 1.0 2.5 0.0 0.0 
11 0.0 0.0 14.9180336331 0.525753762902 -0.810000002384 0.493720315958 2.125 9.0 1.0 1.0 2.5 0.0 0.0 
11 0.0 0.0 14.9180336331 0.525753762902 -0.810000002384 0.493720315958 2.125 9.0 1.0 1.0 2.5 0.0 0.0 
11 0.0 0.0 14.9180336331 0.525753762902 -0.810000002384 0.493720315958 2.125 9.0 1.0 1.0 2.5 0.0 0.0 
11 0.0 0.0 14.9180336331 0.525753762902 -0.819999992847 0.493720315958 2.125 9.0 1.0 1.0 2.5 0.0 0.0 
11 0.0 0.0 14.9180336331 0.525753762902 -0.819999992847 0.493720315958 2.125 9.0 1.0 1.0 2.5 0.0 0.0 
11 0.0 0.0 14.9180336331 0.525753762902 -0.829999983311 0.493720315958 2.125 9.0 1.0 1.0 2.5 0.0 0.0 
11 0.0 0.0 14.9180336331 0.525753762902 -0.839999973774 0.493720315958 2.125 9.0 1.0 1.0 2.5 0.0 0.0 
11 0.0 0.0 14.9180336331 0.525753762902 -0.839999973774 0.493720315958 2.125 9.0 1.0 1.0 2.5 0.0 0.0 
11 0.0 0.0 14.9180336331 0.525753762902 -0.850000023842 0.493720315958 2.125 9.0 1.0 1.0 2.5 0.0 0.0 
11 0.0 0.0 14.9180336331 0.525753762902 -0.850000023842 0.493720315958 2.125 9.0 1.0 1.0 2.5 0.0 0.0 
11 0.0 0.0 14.9180336331 0.525753762902 -0.860000014305 0.493720315958 2.125 9.0 1.0 1.0 2.5 0.0 0.0 
11 0.0 0.0 14.9180336331 0.525753762902 -0.850000023842 0.493720315958 2.125 9.0 1.0 1.0 2.5 0.0 0.0 
11 0.0 0.0 14.9180336331 0.525753762902 -0.850000023842 0.493720315958 2.125 9.0 1.0 1.0 2.5 0.0 0.0 
11 0.0 0.0 14.9180336331 0.525753762902 -0.850000023842 0.493720315958 2.125 9.0 1.0 1.0 2.5 0.0 0.0 
11 0.0 0.0 14.9180336331 0.525753762902 -0.850000023842 0.493720315958 2.125 9.0 1.0 1.0 2.5 0.0 0.0 
